name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
The SpongeBob SquarePants Movie,"Kids & family, Comedy, Adventure, Animation",68%,127,78%,"100,000+",PG (Some Mild Crude Humor),1h 23m,2004,English,https://www.rottentomatoes.com/m/the_spongebob_squarepants_movie
Retribution,"Action, Mystery & thriller",29%,91,66%,500+,R (Some Language and Violence),1h 30m,2023,English,https://www.rottentomatoes.com/m/retribution_2023
Free Guy,"Action, Adventure, Comedy",80%,297,94%,"5,000+",PG-13 (Language|Crude/Suggestive References|Strong Fantasy Violence),1h 55m,2021,English,https://www.rottentomatoes.com/m/free_guy
"Monsters, Inc.","Kids & family, Comedy, Fantasy, Adventure, Animation",96%,199,90%,"250,000+",G,1h 32m,2001,English,https://www.rottentomatoes.com/m/monsters_inc
The Godfather,"Crime, Drama",97%,151,98%,"250,000+",R,2h 57m,1972,English,https://www.rottentomatoes.com/m/the_godfather
The High Note,"Comedy, Drama, Music",71%,191,73%,250+,PG-13 (Suggestive References|Some Strong Language),1h 53m,2020,English,https://www.rottentomatoes.com/m/the_high_note
El Conde,"Comedy, Horror",82%,114,67%,100+,R (Rape|Language and Sexual Content|Gore|Some Graphic Nudity|Strong Violence),1h 50m,2023,Spanish,https://www.rottentomatoes.com/m/el_conde
Inside Out,"Kids & family, Comedy, Fantasy, Animation",98%,382,89%,"100,000+",PG (Some Action|Mild Thematic Elements),1h 35m,2015,English,https://www.rottentomatoes.com/m/inside_out_2015
American Psycho,"Comedy, Mystery & thriller, Horror",68%,154,85%,"250,000+",R (Language|Drug Use|Strong Violence),1h 43m,2000,English,https://www.rottentomatoes.com/m/american_psycho
Dark Harvest,"Horror, Mystery & thriller",71%,38,48%,100+,R (Strong Horror Violence|Brief Drug Use|Language Throughout|Gore),1h 20m,2023,English,https://www.rottentomatoes.com/m/dark_harvest_2022
The Velvet Underground,"Documentary, Music",98%,133,80%,100+,R (Sexual Content|Nudity|Language|Some Drug Material),1h 50m,2021,English,https://www.rottentomatoes.com/m/the_velvet_underground_2021
Zack Snyder's Justice League,"Action, Adventure, Fantasy",72%,313,93%,"25,000+",R (Violence|Some Language),4h 2m,2021,English,https://www.rottentomatoes.com/m/zack_snyders_justice_league
The Iron Giant,"Kids & family, Adventure, Fantasy, Action, Animation",96%,143,90%,"100,000+",PG (Mild Language|Fantasy Action),1h 26m,1999,English,https://www.rottentomatoes.com/m/iron_giant
Alien,"Sci-fi, Horror",93%,195,94%,"250,000+",R,1h 57m,1979,English,https://www.rottentomatoes.com/m/alien
Judas and the Black Messiah,"History, Drama, Biography",97%,356,95%,500+,R (Violence|Pervasive Language),2h 6m,2021,English,https://www.rottentomatoes.com/m/judas_and_the_black_messiah
Seven,"Mystery & thriller, Crime, Drama",83%,87,95%,"250,000+",R,2h 5m,1995,English,https://www.rottentomatoes.com/m/seven
The Departed,"Crime, Drama, Mystery & thriller",91%,287,94%,"250,000+",R (Pervasive Language|Drug Material|Some Strong Sexual Content|Strong Brutal Violence),2h 32m,2006,English,https://www.rottentomatoes.com/m/departed
I Don't Feel at Home in This World Anymore,"Crime, Drama",89%,65,77%,"5,000+",,1h 36m,2017,English,https://www.rottentomatoes.com/m/i_dont_feel_at_home_in_this_world_anymore
The Devil on Trial,"Crime, Documentary, Horror",36%,14,46%,50+,,1h 21m,2023,English,https://www.rottentomatoes.com/m/the_devil_on_trial
1922,Horror,92%,49,57%,"1,000+",,1h 42m,2017,English,https://www.rottentomatoes.com/m/1922_2017
Braveheart,"History, Drama, Biography, War",76%,127,85%,"250,000+",R (Brutal Medieval Warfare),2h 57m,1995,English,https://www.rottentomatoes.com/m/1065684-braveheart
Insomnia,"Mystery & thriller, Crime, Drama",92%,204,77%,"100,000+",R (Language|Brief Nudity|Some Violence),1h 58m,2002,English,https://www.rottentomatoes.com/m/1114154-insomnia
David Holmes: The Boy Who Lived,"Documentary, Biography",100%,14,98%,50+,,1h 23m,2023,English,https://www.rottentomatoes.com/m/david_holmes_the_boy_who_lived
Better Watch Out,"Holiday, Horror, Mystery & thriller, Comedy",89%,65,64%,"2,500+",R (Crude Sexual References|All Involving Teens|Disturbing Violent Content|Drug and Alcohol Use|Language Throughout),1h 29m,2016,English,https://www.rottentomatoes.com/m/better_watch_out
Barbarian,"Horror, Mystery & thriller",93%,207,71%,"1,000+",R (Language Throughout|Disturbing Material|Nudity|Some Strong Violence and Gore),1h 42m,2022,English,https://www.rottentomatoes.com/m/barbarian_2022
John Wick: Chapter 4,Action,94%,371,93%,"5,000+",R (Some Language|Pervasive Strong Violence),2h 49m,2023,English,https://www.rottentomatoes.com/m/john_wick_chapter_4
Hypnotic,"Mystery & thriller, Action",32%,113,62%,250+,R (Violence),1h 32m,2023,English,https://www.rottentomatoes.com/m/hypnotic_2023
Elemental,"Kids & family, Comedy, Fantasy, Animation",74%,257,93%,"2,500+",PG (Some Peril|Brief Language|Thematic Elements),1h 43m,2023,English,https://www.rottentomatoes.com/m/elemental_2023
Aristotle and Dante Discover the Secrets of the Universe,"Drama, Comedy, Fantasy",89%,46,95%,50+,PG-13 (Thematic Elements|Some Strong Violence|Smoking|Sexual Material|Strong Language|Teen Drug/Alcohol Use),1h 36m,2022,English,https://www.rottentomatoes.com/m/aristotle_and_dante_discover_the_secrets_of_the_universe
Pinocchio,"Kids & family, Fantasy, Adventure, Comedy, Drama",28%,181,27%,"2,500+",PG (Some Language|Rude Material|Peril/Scary Moments),1h 51m,2022,English,https://www.rottentomatoes.com/m/pinocchio_2022
South Park: Joining the Panderverse,"Comedy, Fantasy, Animation",--,1,96%,250+,,48m,2023,English,https://www.rottentomatoes.com/m/south_park_joining_the_panderverse
Jurassic Park,"Adventure, Action, Sci-fi, Mystery & thriller",91%,141,91%,"250,000+",PG-13 (Intense Science Fiction Terror),2h 6m,1993,English,https://www.rottentomatoes.com/m/jurassic_park
The Monkey King,"Kids & family, Action, Adventure, Fantasy, Animation",59%,46,64%,250+,PG (Action/Violence|Brief Thematic Material),1h 32m,2023,English,https://www.rottentomatoes.com/m/the_monkey_king_2023
Joy Ride,Comedy,91%,211,82%,500+,R (Drug Content|Brief Graphic Nudity|Language Throughout|Strong & Crude Sexual Content),1h 35m,2023,English,https://www.rottentomatoes.com/m/joy_ride_2023
The Big Sick,"Romance, Comedy",98%,308,88%,"25,000+",R (Some Sexual References|Language),2h 0m,2017,English,https://www.rottentomatoes.com/m/the_big_sick
The Tomorrow War,"Sci-fi, Action, Adventure",52%,210,76%,"5,000+",PG-13 (Language|Intense Sci-Fi Violence|Action|Some Suggestive References),2h 18m,2021,English,https://www.rottentomatoes.com/m/the_tomorrow_war
"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","Documentary, Music",99%,220,98%,100+,PG-13 (Smoking|Brief Drug Material|Some Disturbing Images),1h 57m,2021,English,https://www.rottentomatoes.com/m/summer_of_soul
The Knight Before Christmas,"Holiday, Romance",67%,21,43%,250+,,1h 33m,2019,English,https://www.rottentomatoes.com/m/the_knight_before_christmas
The Innocents,"Horror, Mystery & thriller",97%,119,72%,250+,,1h 58m,2021,Norwegian,https://www.rottentomatoes.com/m/the_innocents_2022
Millennium Actress,"Drama, Fantasy, Anime",93%,58,90%,"10,000+",PG (Brief Mild Language|Violence|Thematic Elements),1h 27m,2001,Japanese,https://www.rottentomatoes.com/m/millennium_actress_2001
Tolkien,"Biography, History, Drama",50%,199,71%,"1,000+",PG-13 (Some Sequences of War Violence),1h 52m,2019,English,https://www.rottentomatoes.com/m/tolkien
Forsaken,"Western, Drama",41%,44,87%,"2,500+",R (Violence and Some Language),1h 30m,2015,English,https://www.rottentomatoes.com/m/forsaken_2016
The Keeping Room,"Western, Mystery & thriller, History, Drama",75%,88,52%,"1,000+",R (Strong Violence|A Sexual Assault),1h 35m,2014,English,https://www.rottentomatoes.com/m/the_keeping_room
Hacksaw Ridge,"War, History, Drama, Biography",84%,280,91%,"50,000+",R (Grisly Bloody Images|Graphic War Violence),2h 19m,2016,English,https://www.rottentomatoes.com/m/hacksaw_ridge
They Shall Not Grow Old,"Documentary, History, Drama, War",99%,156,92%,"1,000+",R (Disturbing War Images),1h 39m,2018,English (United Kingdom),https://www.rottentomatoes.com/m/they_shall_not_grow_old
The Peanuts Movie,"Kids & family, Comedy, Adventure, Animation",87%,198,76%,"50,000+",G,1h 29m,2015,English,https://www.rottentomatoes.com/m/the_peanuts_movie
Nefarious,"Horror, Mystery & thriller",32%,19,96%,"1,000+",R (Disturbing Violent Content),1h 38m,2023,English,https://www.rottentomatoes.com/m/nefarious_2023
Totally Killer,"Horror, Comedy",87%,102,76%,500+,R (Sexual Material|Language|Bloody Violence|Teen Drug/Alcohol Use),1h 43m,2023,English,https://www.rottentomatoes.com/m/totally_killer
Midway,"War, History, Drama",42%,175,92%,"10,000+",PG-13 (Sequences of War Violence|Language|Smoking),2h 18m,2019,English,https://www.rottentomatoes.com/m/midway_2019
Crazy Rich Asians,"Romance, Comedy",91%,373,76%,"10,000+",PG-13 (Some Suggestive Content|Language),2h 0m,2018,English,https://www.rottentomatoes.com/m/crazy_rich_asians
The LEGO Movie,"Kids & family, Comedy, Adventure, Animation",96%,257,87%,"100,000+",PG (Rude Humor|Mild Action),1h 35m,2014,English,https://www.rottentomatoes.com/m/the_lego_movie
Pig,"Drama, Mystery & thriller",97%,273,84%,250+,R,1h 32m,2021,English,https://www.rottentomatoes.com/m/pig_2021
Learn To Swim,"Romance, Drama, Music",93%,14,25%,Fewer,,1h 30m,2021,English,https://www.rottentomatoes.com/m/learn_to_swim
BlackBerry,"Comedy, Drama, History",98%,197,94%,"1,000+",R (Language Throughout),1h 59m,2023,English,https://www.rottentomatoes.com/m/blackberry
The Equalizer,"Action, Mystery & thriller",61%,207,77%,"50,000+",R (Some Sexual References|Language Throughout|Strong Bloody Violence),2h 12m,2014,English,https://www.rottentomatoes.com/m/the_equalizer_2013
Spirited,"Holiday, Musical, Comedy, Fantasy",71%,117,81%,250+,PG-13 (Thematic Elements|Some Suggestive Material|Language),2h 7m,2022,English,https://www.rottentomatoes.com/m/spirited
Wind River,"Mystery & thriller, Crime, Drama",88%,256,90%,"25,000+",R (Disturbing Images|A Rape|Language|Strong Violence),1h 51m,2017,English,https://www.rottentomatoes.com/m/wind_river_2017
M3GAN,"Horror, Mystery & thriller, Sci-fi",93%,315,78%,"2,500+",PG-13 (Some Strong Language|A Suggestive Reference|Terror|Violent Content),1h 42m,2022,English,https://www.rottentomatoes.com/m/m3gan
Blue Valentine,"Drama, Romance",86%,213,77%,"50,000+",R (Language|A Beating|Strong Graphic Sexual Content),2h 0m,2010,English,https://www.rottentomatoes.com/m/blue_valentine
Cocaine Bear: The True Story,Documentary,--,1,75%,Fewer,,51m,2023,English,https://www.rottentomatoes.com/m/cocaine_bear_the_true_story
Tangled,"Kids & family, Musical, Comedy, Fantasy, Adventure, Animation",89%,228,87%,"100,000+",PG (Brief Mild Violence),1h 41m,2010,English,https://www.rottentomatoes.com/m/tangled
Genie,"Holiday, Comedy, Fantasy",25%,8,--,,PG,1h 32m,2023,English,https://www.rottentomatoes.com/m/genie
Doctor Strange in the Multiverse of Madness,"Action, Adventure, Fantasy, Horror",73%,460,85%,"10,000+",PG-13 (Frightening Images|Action|Intense Sequences of Violence|Some Language),2h 6m,2022,English,https://www.rottentomatoes.com/m/doctor_strange_in_the_multiverse_of_madness
The Good Nurse,"Crime, Drama, Biography",74%,168,76%,"1,000+",R,1h 56m,2022,English,https://www.rottentomatoes.com/m/the_good_nurse
Where the Crawdads Sing,"Drama, Mystery & thriller",35%,219,96%,"5,000+",PG-13 (Sexual Content|A Sexual Assault|Some Violence),2h 5m,2022,English,https://www.rottentomatoes.com/m/where_the_crawdads_sing
"Extremely Wicked, Shockingly Evil and Vile","Biography, Crime, Drama",55%,188,57%,"1,000+",R (Nudity|Language|Disturbing/Violent Content|Some Sexuality),1h 50m,2019,English,https://www.rottentomatoes.com/m/extremely_wicked_shockingly_evil_and_vile
Harry Potter and the Sorcerer's Stone,"Kids & family, Fantasy, Adventure",81%,200,82%,"250,000+",PG (Some Scary Moments|Mild Language),2h 32m,2001,English,https://www.rottentomatoes.com/m/harry_potter_and_the_sorcerers_stone
Palm Springs,"Romance, Comedy",94%,254,89%,"2,500+",R (Language Throughout|Drug Use|Sexual Content|Some Violence),1h 30m,2020,English,https://www.rottentomatoes.com/m/palm_springs_2020
Sweetwater,"Biography, Drama, Sports",26%,19,95%,Fewer,PG-13 (Smoking|Violence|Some Racial Slurs),1h 54m,2023,English,https://www.rottentomatoes.com/m/sweetwater
Trolls,"Kids & family, Musical, Comedy, Adventure, Fantasy, Animation",75%,166,67%,"25,000+",PG (Some Mild Rude Humor),1h 32m,2016,English,https://www.rottentomatoes.com/m/trolls
Meg 2: The Trench,"Sci-fi, Mystery & thriller, Action, Adventure",27%,181,73%,"1,000+",PG-13 (Brief Suggestive Material|Action/Violence|Language|Some Bloody Images),1h 56m,2023,English,https://www.rottentomatoes.com/m/meg_2_the_trench
Fireworks,"Romance, Drama, Anime",45%,29,60%,250+,,1h 30m,2017,Japanese,https://www.rottentomatoes.com/m/fireworks_2017
The Batman,"Action, Adventure, Crime, Drama",85%,524,87%,"10,000+",PG-13 (Some Suggestive Material|Drug Content|Strong Disturbing Content|Strong Language|Strong Violent Content),2h 56m,2022,English,https://www.rottentomatoes.com/m/the_batman
The Good Dinosaur,"Kids & family, Comedy, Adventure, Animation",75%,220,64%,"50,000+",PG (Peril|Action|Thematic Elements),1h 32m,2015,English,https://www.rottentomatoes.com/m/the_good_dinosaur
Hitchcock/Truffaut,Documentary,96%,119,76%,"5,000+",PG-13 (Violent Images|Suggestive Material),1h 20m,2015,English,https://www.rottentomatoes.com/m/hitchcocktruffaut
Straight Outta Compton,"Biography, Drama, Music",89%,249,91%,"10,000+",R (Language Throughout|Drug Use|Strong Sexuality/Nudity|Violence),2h 27m,2015,English,https://www.rottentomatoes.com/m/straight_outta_compton
Mank,"Biography, Comedy, Drama",83%,354,63%,"1,000+",R (Some Language),2h 12m,2020,English,https://www.rottentomatoes.com/m/mank
The Lone Ranger,"Western, Action, Adventure",31%,250,51%,"25,000+",PG-13 (Some Suggestive Material|Seq of Intense Action Violence),2h 29m,2013,English,https://www.rottentomatoes.com/m/the_lone_ranger
The Emoji Movie,"Kids & family, Comedy, Adventure, Animation",6%,134,36%,"25,000+",PG (Rude Humor),1h 26m,2017,English,https://www.rottentomatoes.com/m/the_emoji_movie
Between Me and My Mind,"Documentary, Music",--,3,100%,100+,,1h 40m,2019,English,https://www.rottentomatoes.com/m/between_me_and_my_mind
If You Were the Last,"Romance, Sci-fi, Comedy",86%,22,83%,50+,,1h 32m,2023,English,https://www.rottentomatoes.com/m/if_you_were_the_last
Sicario: Day of the Soldado,"Mystery & thriller, Action, Crime, Drama",62%,293,65%,"5,000+",R (Language|Bloody Images|Strong Violence),2h 2m,2018,English,https://www.rottentomatoes.com/m/sicario_day_of_the_soldado
Harry Potter 20th Anniversary: Return to Hogwarts,"Documentary, Fantasy, Kids & family",93%,27,86%,500+,,1h 45m,2022,English,https://www.rottentomatoes.com/m/harry_potter_20th_anniversary_return_to_hogwarts
The Outpost,"War, Drama",92%,101,81%,500+,R (Pervasive Language|Grisly Images|Sexual References|War Violence),2h 3m,2019,English,https://www.rottentomatoes.com/m/the_outpost_2020
Under the Boardwalk,"Comedy, Adventure, Animation, Musical, Kids & family",--,Fewer,88%,,PG (Mild Violence|Some Impolite Material),1h 23m,2023,English,https://www.rottentomatoes.com/m/under_the_boardwalk_2023
Top Gun: Maverick,"Action, Adventure",96%,478,99%,"50,000+",PG-13 (Some Strong Language|Sequences of Intense Action),2h 11m,2022,English,https://www.rottentomatoes.com/m/top_gun_maverick
Finding Nemo,"Kids & family, Comedy, Adventure, Animation",99%,270,86%,"250,000+",G,1h 40m,2003,English,https://www.rottentomatoes.com/m/finding_nemo
Annihilation,"Sci-fi, Adventure, Mystery & thriller",88%,331,67%,"10,000+",R (Language|Bloody Images|Some Sexuality|Violence),1h 55m,2018,English,https://www.rottentomatoes.com/m/annihilation
Argo,"History, Drama, Mystery & thriller, Biography",96%,364,90%,"100,000+",R (Some Violent Images|Language),2h 0m,2012,English,https://www.rottentomatoes.com/m/argo_2012
Lords of Chaos,"Comedy, Drama, Music",73%,77,62%,500+,R (Grisly Images|Disturbing Behavior|Strong Sexuality|Nudity|Pervasive Language|Strong Brutal Violence),1h 52m,2018,English (United Kingdom),https://www.rottentomatoes.com/m/lords_of_chaos
Tucker: The Man and His Dream,"Biography, History, Drama",81%,47,68%,"5,000+",PG,1h 51m,1988,English,https://www.rottentomatoes.com/m/tucker_the_man_and_his_dream
The Bad Guys,"Kids & family, Comedy, Adventure, Animation",88%,171,93%,"2,500+",PG (Action and Rude Humor),1h 39m,2022,English,https://www.rottentomatoes.com/m/the_bad_guys_2022
Train to Busan,"Horror, Mystery & thriller, Action",95%,128,89%,"10,000+",,1h 58m,2016,Korean,https://www.rottentomatoes.com/m/train_to_busan
Honeyland,Documentary,100%,135,86%,250+,,1h 25m,2019,Turkish,https://www.rottentomatoes.com/m/honeyland
Miranda's Victim,"Crime, Drama, Biography",77%,22,97%,50+,,2h 7m,2023,English,https://www.rottentomatoes.com/m/mirandas_victim
The Princess and the Frog,"Kids & family, Comedy, Adventure, Musical, Fantasy, Animation",85%,202,74%,"250,000+",G,1h 35m,2009,English,https://www.rottentomatoes.com/m/1196003-princess_and_the_frog
A Man Called Otto,"Comedy, Drama",70%,207,97%,"5,000+",PG-13 (Mature Thematic Material|Language|Suicide Attempts),2h 6m,2022,English,https://www.rottentomatoes.com/m/a_man_called_otto
All the Money in the World,"Crime, Drama, Mystery & thriller",79%,262,65%,"5,000+",R (Disturbing Images|Brief Drug Content|Language|Some Violence),2h 12m,2017,English,https://www.rottentomatoes.com/m/all_the_money_in_the_world_2017
Onward,"Kids & family, Comedy, Adventure, Fantasy, Animation",88%,349,95%,"5,000+",PG (Some Mild Thematic Elements|Action/Peril),1h 43m,2020,English,https://www.rottentomatoes.com/m/onward
El Camino Christmas,"Holiday, Comedy",40%,5,41%,250+,TVMA,1h 28m,2017,English,https://www.rottentomatoes.com/m/el_camino_christmas
Ambulance,"Action, Mystery & thriller, Crime, Drama",68%,251,88%,"1,000+",R (Intense Violence|Bloody Images|Language Throughout),2h 16m,2022,English,https://www.rottentomatoes.com/m/ambulance
Dark Phoenix,"Action, Adventure, Sci-fi, Fantasy",22%,388,64%,"10,000+",PG-13 (Brief Strong Language|Action|Disturbing Images|Intense Sci-Fi Violence|Some Gunplay),1h 54m,2019,English,https://www.rottentomatoes.com/m/dark_phoenix
