name,genre,tomatometer_score,tomatometer_count,audience_score,audience_count,classification,runtime,release_year,original_language,url
Cowboys & Aliens,"Sci-fi, Western, Action",44%,259,43%,"100,000+",PG-13 (Some Partial Nudity|A Brief Crude Reference|Western and Sci-Fi Action|Western and Sci-Fi Violence),1h 58m,2011,English,https://www.rottentomatoes.com/m/cowboys_and_aliens
Ghosts of the Void,"Drama, Horror, Mystery & thriller",100%,6,69%,Fewer,,1h 31m,2023,English,https://www.rottentomatoes.com/m/ghosts_of_the_void
The Whale,Drama,64%,342,91%,"1,000+",R (Sexual Content|Language|Some Drug Use),1h 57m,2022,English,https://www.rottentomatoes.com/m/the_whale_2022
Yellow Rose,"Drama, Music",87%,55,76%,100+,PG-13 (Teen Drinking|Some Strong Language),1h 35m,2019,English,https://www.rottentomatoes.com/m/yellow_rose
Altered Carbon: Resleeved,"Sci-fi, Anime",60%,5,53%,100+,,1h 14m,2020,Japanese,https://www.rottentomatoes.com/m/altered_carbon_resleeved
First Man,"Biography, History, Drama, Adventure",87%,465,67%,"5,000+",PG-13 (Peril|Brief Strong Language|Some Thematic Content),2h 21m,2018,English,https://www.rottentomatoes.com/m/first_man
Last Christmas,"Holiday, Romance, Comedy",46%,213,81%,"5,000+",PG-13 (Language and Sexual Content),1h 42m,2019,English,https://www.rottentomatoes.com/m/last_christmas_2019
Upgrade,"Sci-fi, Action, Horror",88%,195,87%,"5,000+",R (Language|Grisly Images|Strong Violence),1h 35m,2018,English,https://www.rottentomatoes.com/m/upgrade_2018
American Sniper,"War, Biography, Drama",72%,303,84%,"100,000+",R (Some Sexual References|Language Throughout|Strong Disturbing War Violence),2h 12m,2014,English,https://www.rottentomatoes.com/m/american_sniper
Spirited Away,"Fantasy, Adventure, Animation",96%,221,96%,"250,000+",PG (Some Scary Moments),2h 5m,2001,Japanese,https://www.rottentomatoes.com/m/spirited_away
Mazinger Z: Infinity,"Action, Sci-fi, Anime",80%,5,73%,100+,,1h 35m,2017,Japanese,https://www.rottentomatoes.com/m/mazinger_z_infinity
Hostile Territory,"Western, Drama",--,1,47%,50+,R (Violence),2h 33m,2022,English,https://www.rottentomatoes.com/m/hostile_territory
The Offering,"Horror, Mystery & thriller",74%,47,48%,100+,R (Violence),1h 33m,2022,English,https://www.rottentomatoes.com/m/the_offering_2022
A Christmas Karen,"Holiday, Comedy",--,4,61%,50+,,1h 38m,2022,English,https://www.rottentomatoes.com/m/a_christmas_karen
Babylon,"Comedy, Drama",57%,358,52%,"1,000+",R (Drug Use|Bloody Violence|Graphic Nudity|Pervasive Language|Strong & Crude Sexual Content),3h 9m,2022,English,https://www.rottentomatoes.com/m/babylon_2022
Black Noise,"Sci-fi, Action",0%,6,0%,Fewer,R (Language|Violence|Suicide),1h 26m,2023,English,https://www.rottentomatoes.com/m/black_noise_2023
To All the Boys I've Loved Before,"Romance, Drama",96%,70,85%,"5,000+",TV14,1h 39m,2018,English,https://www.rottentomatoes.com/m/to_all_the_boys_ive_loved_before
Jonah Hex,"Action, Adventure, Mystery & thriller, Western, Fantasy",12%,155,20%,"100,000+",PG-13 (Intense Sequences of Action|Disturbing Images|Intense Sequences of Violence|Sexual Content),1h 21m,2010,English,https://www.rottentomatoes.com/m/jonah_hex
Mortal Kombat,"Action, Adventure, Fantasy",55%,299,86%,"5,000+",R (Some Crude References|Language Throughout|Strong Bloody Violence),1h 50m,2021,English,https://www.rottentomatoes.com/m/mortal_kombat_2021
Florence Foster Jenkins,"Biography, Comedy, Drama, Music",88%,237,68%,"10,000+",PG-13 (Brief Suggestive Material),1h 50m,2016,English,https://www.rottentomatoes.com/m/florence_foster_jenkins_2016
Megan Leavey,"War, Biography, Drama",86%,105,82%,"10,000+",PG-13 (Suggestive Material|Language|Thematic Elements|War Violence),1h 56m,2017,English,https://www.rottentomatoes.com/m/megan_leavey
Turning Red,"Kids & family, Comedy, Fantasy, Animation",95%,287,68%,"5,000+",PG (Thematic Material|Suggestive Content|Language),1h 40m,2022,English,https://www.rottentomatoes.com/m/turning_red
Fifty Shades Darker,"Romance, Drama",11%,209,47%,"25,000+",R (Some Graphic Nudity|Language|Strong Erotic Sexual Content),1h 58m,2017,English,https://www.rottentomatoes.com/m/fifty_shades_darker
Logan,"Action, Adventure, Fantasy",94%,429,90%,"50,000+",R (Language Throughout|Brief Nudity|Strong Brutal Violence),2h 17m,2017,English,https://www.rottentomatoes.com/m/logan_2017
Spider-Man: No Way Home,"Action, Adventure, Fantasy, Comedy",93%,431,98%,"25,000+",PG-13 (Sequences of Action/Violence|Brief Suggestive Comments|Some Language),2h 28m,2021,English,https://www.rottentomatoes.com/m/spider_man_no_way_home
Your Place or Mine,"Romance, Comedy",30%,109,36%,500+,PG-13 (Brief Strong Language|Suggestive Material),1h 49m,2023,English,https://www.rottentomatoes.com/m/your_place_or_mine_2023
Triple Frontier,"Action, Adventure, Mystery & thriller",70%,141,58%,"2,500+",R (Language Throughout|Violence),2h 5m,2019,English,https://www.rottentomatoes.com/m/triple_frontier
Harriet,"Biography, History, Drama",74%,235,97%,"10,000+",PG-13 (Racial Epithets|Language|Thematic Content Throughout|Violent Material),2h 5m,2019,English,https://www.rottentomatoes.com/m/harriet
The Talented Mr. Ripley,"Crime, Drama, Mystery & thriller",85%,138,80%,"100,000+",R (Language|Brief Nudity|Violence),2h 19m,1999,English,https://www.rottentomatoes.com/m/talented_mr_ripley
Tickled,"Documentary, Mystery & thriller, Lgbtq+",94%,120,86%,"2,500+",R (Language),1h 32m,2016,English,https://www.rottentomatoes.com/m/tickled
The Insurrectionist Next Door,Documentary,80%,5,64%,Fewer,,1h 15m,2023,English,https://www.rottentomatoes.com/m/the_insurrectionist_next_door
Santa Claus,"Kids & family, Holiday, Fantasy",20%,20,67%,"10,000+",PG,1h 47m,1985,English,https://www.rottentomatoes.com/m/santa_claus_the_movie
12 Years a Slave,"History, Drama, Biography",95%,379,90%,"100,000+",R (Some Nudity|Brief Sexuality|Violence/Cruelty),2h 14m,2013,English,https://www.rottentomatoes.com/m/12_years_a_slave
The Legend of Molly Johnson,"Drama, Western",80%,61,67%,50+,,1h 49m,2021,English (Australia),https://www.rottentomatoes.com/m/the_legend_of_molly_johnson
The Devil All the Time,"Crime, Drama, Mystery & thriller",65%,219,79%,"2,500+",R (Sex-Related Content|Language|Graphic Nudity|Violence and Bloody Images),2h 18m,2020,English,https://www.rottentomatoes.com/m/the_devil_all_the_time
Up,"Kids & family, Comedy, Adventure, Animation",98%,297,90%,"250,000+",PG (Some Peril and Action),1h 36m,2009,English,https://www.rottentomatoes.com/m/up
Penguin Highway,"Adventure, Anime",100%,24,76%,100+,,1h 58m,2018,Japanese,https://www.rottentomatoes.com/m/penguin_highway
"Three Billboards Outside Ebbing, Missouri","Crime, Drama, Comedy",90%,416,87%,"10,000+",R (Some Sexual References|Language Throughout|Violence),1h 55m,2017,English,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri
Office Christmas Party,"Holiday, Comedy",40%,186,40%,"10,000+",R (Drug Use|Crude Sexual Content|Graphic Nudity|Language Throughout),1h 45m,2016,English,https://www.rottentomatoes.com/m/office_christmas_party
Home Sweet Home Alone,"Kids & family, Holiday, Comedy",15%,71,12%,500+,PG (Some Language|Slapstick Violence|Rude Material),1h 33m,2021,English,https://www.rottentomatoes.com/m/home_sweet_home_alone
Fire of Love,"Documentary, Biography",98%,176,83%,250+,PG (Thematic Material|Some Unsettling Images|Brief Smoking),1h 33m,2022,French (Canada),https://www.rottentomatoes.com/m/fire_of_love
Yu-Gi-Oh!: The Dark Side of Dimensions,"Fantasy, Adventure, Action, Anime",40%,5,75%,250+,PG (Some Suggestive Material|Sequences of Fantasy Action),2h 10m,2016,Japanese,https://www.rottentomatoes.com/m/yu_gi_oh_the_dark_side_of_dimensions
Your Christmas or Mine?,"Holiday, Romance, Comedy",63%,8,73%,50+,,1h 35m,2022,English (United Kingdom),https://www.rottentomatoes.com/m/your_christmas_or_mine
